key,集合,zh_CN.名称,zh_CN.描述,en-us.名称,en-us.描述,zh_CN.解锁条件,en-us.解锁条件
b_abandoned,Back,废弃牌组,"开局时
玩家牌组中
没有{C:attention}人头牌",Abandoned Deck,"Start run with
no {C:attention}Face Cards
in your deck",,
b_anaglyph,Back,浮雕牌组,"每次击败{C:attention}Boss盲注{}后
获得一个{C:attention,T:tag_double}#1#",Anaglyph Deck,"After defeating each
{C:attention}Boss Blind{}, gain a
{C:attention,T:tag_double}#1#",,
b_black,Back,黑色牌组,"小丑牌槽位{C:attention}+#1#{}

每回合
出牌次数{C:blue}-#2#{}",Black Deck,"{C:attention}+#1#{} Joker slot

{C:blue}-#2#{} hand
every round",,
b_blue,Back,蓝色牌组,"每回合
{C:blue}+#1#{}次出牌",Blue Deck,"{C:blue}+#1#{} hand
every round",,
b_challenge,Back,挑战牌组,,Challenge Deck,,,
b_checkered,Back,方格牌组,"开局时
牌组中有{C:attention}26{C:spades}张黑桃{}和
{C:attention}26{C:hearts}张红桃{}",Checkered Deck,"Start run with
{C:attention}26{C:spades} Spades{} and
{C:attention}26{C:hearts} Hearts{} in deck",,
b_erratic,Back,古怪牌组,"牌组中所有牌的
{C:attention}点数{}和{C:attention}花色{}
都是随机的",Erratic Deck,"All {C:attention}Ranks{} and
{C:attention}Suits{} in deck
are randomized",,
b_ghost,Back,幽灵牌组,"商店中可能
出现{C:spectral}幻灵牌{}
初始带有{C:spectral,T:c_hex}妖法{}牌",Ghost Deck,"{C:spectral}Spectral{} cards may
appear in the shop,
start with a {C:spectral,T:c_hex}Hex{} card",,
b_green,Back,绿色牌组,"每回合结束时：
每剩一次{C:blue}出牌次数，获得{C:money}$#1#{s:0.85}
每剩一次{C:red}弃牌次数，获得{C:money}$#2#{s:0.85}
不赚取任何{C:attention}利息",Green Deck,"At end of each Round:
{C:money}$#1#{s:0.85} per remaining {C:blue}Hand
{C:money}$#2#{s:0.85} per remaining {C:red}Discard
Earn no {C:attention}Interest",,
b_magic,Back,魔法牌组,"开局时拥有
{C:tarot,T:v_crystal_ball}#1#{}优惠券
和{C:attention}2{}张{C:tarot,T:c_fool}#2#",Magic Deck,"Start run with the
{C:tarot,T:v_crystal_ball}#1#{} voucher
and {C:attention}2{} copies
of {C:tarot,T:c_fool}#2#",,
b_nebula,Back,星云牌组,"开局时拥有
{C:planet,T:v_telescope}#1#{}优惠券
消耗牌槽位{C:red}#2#{}",Nebula Deck,"Start run with the
{C:planet,T:v_telescope}#1#{} voucher

{C:red}#2#{} consumable slot",,
b_painted,Back,彩绘牌组,"手牌上限{C:attention}+#1#{}
小丑牌槽位{C:red}#2#{}",Painted Deck,"{C:attention}+#1#{} hand size,
{C:red}#2#{} Joker slot",,
