_key,KO,PT_BR,ID,EN_US,EN_GB
GL_LANG_GAME_NAME_TICTACTOE,틱택토,JOGO DO GALO,TIC TAC TOE,Tic Tac Toe,Tic Tac Toe
GL_LANG_GAME_NAME_MAHJONG,마작,MAHJONG,MAHJONG,Mahjong,Mahjong
GL_LANG_GAME_NAME_ONET,오넷,ONET,ONET,Onet,Onet
GL_LANG_GAME_NAME_ONELINE,한 줄 매칭,UMA LINHA,SATU GARIS,One Line,One Line
GL_LANG_GAME_NAME_WATER,워터 소트,CLASSIFICAR ÁGUA,PENYARINGAN AIR,Water Sort,Water Sort
GL_LANG_GAME_NAME_FRUIT,과일 합치기,FUSÃO DE FRUTAS,FUSI BUAH,Fruit Merge,Fruit Merge
GL_LANG_GAME_NAME_SUDOKU,스도쿠,SUDOKU,SUDOKU,Sudoku,Sudoku
GL_LANG_TICTACTOE_SKIP,건너뛰기,Pular,Lewati,Skip,Skip
GL_LANG_TICTACTOE_GUIDE_1,"빈 칸을 터치하여 표시를 
놓으세요",Toque em um quadrado vazio para colocar sua marca.,"Ketuk kotak kosong untuk 
menempatkan tanda Anda.",Tap an empty square to place your mark,Tap an empty square to place your mark
GL_LANG_TICTACTOE_GUIDE_2,상대가 줄을 완성하지 못하도록 막으세요,Bloqueie seu oponente de completar a linha dele.,Halangi lawan Anda menyelesaikan baris mereka.,Block your opponent from completing their row,Block your opponent from completing their row
GL_LANG_TICTACTOE_GUIDE_3,"가로, 세로, 대각선 3개 표시를 먼저 만들면 승리!",Consiga três marcas seguidas para ganhar!,"Dapatkan tiga tanda 
berturut-turut untuk
 menang!",Get three marks in a row to win!,Get three marks in a row to win!
GL_LANG_TICTACTOE_GUIDE_4,"가로, 세로, 대각선 4개 표시를 먼저 만들면 승리!",Consiga quatro marcas seguidas para ganhar!,Dapatkan empat tanda berturut-turut untuk menang!,Get four marks in a row to win!,Get four marks in a row to win!
GL_LANG_TICTACTOE_GUIDE_5,"가로, 세로, 대각선 5개 표시를 먼저 만들면 승리!",Consiga cinco marcas seguidas para ganhar!,Dapatkan lima tanda berturut-turut untuk menang!,Get five marks in a row to win!,Get five marks in a row to win!
GL_LANG_TICTACTOE_GUIDE_LAST,잘했어요! 이제 다음 라운드로!,"Boa! Agora, para a próxima rodada!",Bagus! Sekarang lanjut ke babak berikutnya!,"Way to go! Now, onto the next round!","Way to go! Now, onto the next round!"
GL_LANG_TICTACTOE_POPUP_RESTART_TITLE,"게임을 다시 
시작하시겠습니까?",Reiniciar Jogo?,Mulai ulang permainan?,Restart Game?,Restart Game?
GL_LANG_TICTACTOE_POPUP_RESTART_DESC,현재 진행 상황을 잃고 이 게임은 패배로 처리됩니다!,"Você perderá seu progresso atual, e este jogo será contado como uma derrota!","Kamu akan kehilangan kemajuan
 saat ini, dan permainan ini akan
 dihitung sebagai kekalahan!","You'll lose your current progress, and this game will be counted as a Loss!","You'll lose your current progress, and this game will be counted as a Loss!"
GL_LANG_TICTACTOE_POPUP_RESTART_BUTTON_YES,다시 시작,Reiniciar,Mulai ulang,Restart,Restart
GL_LANG_TICTACTOE_POPUP_RESTART_BUTTON_NO,취소,Cancelar,Batal,Cancel,Cancel
GL_LANG_MAHJONG_FULL_COMBO,풀 콤보!,Combinação Completa!,Kombinasi Penuh!,Full Combo!,Full Combo!
GL_LANG_MAHJONG_SKIP,건너뛰기,Pular,Lewati,Skip,Skip
GL_LANG_MAHJONG_TITLE_LEVEL,레벨,LEVEL,TINGKAT,LEVEL,LEVEL
GL_LANG_MAHJONG_TITLE_MATCHES,매치 수,MATCHES,COCOK,MATCHES,MATCHES
GL_LANG_MAHJONG_TIP_1,상단 타일 먼저 제거,Remover as peças que bloqueiam o topo primeiro,"Hapus ubin yang memblokir 
bagian atas terlebih dahulu",Remove tiles blocking the top first,Remove tiles blocking the top first
GL_LANG_MAHJONG_TIP_2,좌우 측면 타일 먼저 제거,Remova as peças dos lados esquerdo e direito primeiro,"Hapus ubin di sisi kiri dan 
kanan terlebih dahulu",Remove tiles on the left and right sides first,Remove tiles on the left and right sides first
GL_LANG_MAHJONG_TIP_3,현재 사용 불가. 실행 취소할 수 있는 동작이 없습니다!,Atualmente indisponível. Não há movimentos desfeitos,Saat ini tidak tersedia. Tidak ada langkah yang dapat dibatalkan,Currently unavailable. There are no undoable moves!,Currently unavailable. There are no undoable moves!
GL_LANG_MAHJONG_POPUP_AGAIN_TITLE,"게임을 다시 
시작하시겠습니까?",Reiniciar Jogo?,Mulai ulang permainan?,Restart Game?,Restart Game?
GL_LANG_MAHJONG_POPUP_AGAIN_DESC,현재 진행 상황이 모두 사라집니다!,Você perderá seu progresso atual!,"Anda akan kehilangan kemajuan 
Anda saat ini!",You'll lose your current progress!,You'll lose your current progress!
GL_LANG_MAHJONG_POPUP_AGAIN_RESTART,다시 시작,Reiniciar,Mulai ulang,Restart,Restart
GL_LANG_MAHJONG_POPUP_AGAIN_NEWGAME,새 게임,Novo Jogo,Permainan Baru,New Game,New Game
GL_LANG_MAHJONG_POPUP_AGAIN_CANCEL,취소,Cancelar,Batal,Cancel,Cancel
GL_LANG_MAHJONG_POPUP_HINT_TITLE,"광고를 보고 보상 
받기: 힌트",Assista a um anúncio para ganhar a recompensa: Dica,Tonton iklan untuk mendapatkan hadiah: Petunjuk,Watch an ad to get reward: Hint,Watch an ad to get reward: Hint
GL_LANG_MAHJONG_POPUP_HINT_BUTTON_YES,좋은 아이디어,Ótima ideia!,Ide bagus!,Great idea!,Great idea!
GL_LANG_MAHJONG_POPUP_HINT_BUTTON_NO,괜찮아요,"Não, obrigado","Tidak, terima kasih",No thanks,No thanks
GL_LANG_MAHJONG_POPUP_SHUFFLE_TITLE,"광고를 보고 보상 
받기: 셔플",Assista a um anúncio para ganhar a recompensa: Embaralhar,Tonton iklan untuk mendapatkan hadiah: Kocok,Watch an ad to get reward: Shuffle,Watch an ad to get reward: Shuffle
GL_LANG_MAHJONG_POPUP_SHUFFLE_BUTTON_YES,좋은 아이디어,Ótima ideia!,Ide bagus!,Great idea!,Great idea!
GL_LANG_MAHJONG_POPUP_SHUFFLE_BUTTON_NO,괜찮아요,"Não, obrigado","Tidak, terima kasih",No thanks,No thanks
GL_LANG_MAHJONG_POPUP_LOSE_TITLE,매칭이 더 이상 없습니다.,Sem mais combinações,Tidak ada kecocokan,Out of Matches,Out of Matches
GL_LANG_MAHJONG_POPUP_LOSE_DESC,"앗! 더 이상 매칭할 수 있는 블록이 
없습니다.다시 시작하거나 ‘섞기’를 
사용해 보세요!","Oops, você ficou sem partidas! Reinicie ou use Embaralhar para tentar novamente!","Oops, kamu kehabisan pertandingan! Mulai ulang atau gunakan Kocok untuk mencoba lagi!","Oops, you're out of matches. Restart or use Shuffle to try again!","Oops, you're out of matches. Restart or use Shuffle to try again!"
GL_LANG_MAHJONG_POPUP_LOSE_BUTTON_SHUFFLE,섞기,Embaralhar,Kocok,Shuffle,Shuffle
GL_LANG_MAHJONG_POPUP_LOSE_BUTTON_RESTART,다시 시작,Reiniciar,Mulai ulang,Restart,Restart
GL_LANG_MAHJONG_GUIDE_STEP_LEVEL_1_1,같은 타일 두 개를 터치해 제거하세요.,Toque duas peças idênticas para combiná-las e removê-las,Ketuk dua ubin identik untuk mencocokkan dan menghapusnya,Tap two identical tiles to match and remove them,Tap two identical tiles to match and remove them
GL_LANG_MAHJONG_GUIDE_STEP_LEVEL_1_2,바깥쪽 타일을 매칭해 안쪽 타일을 열어 주세요.,Combine peças nas laterais para desbloquear as peças internas,Cocokkan ubin di sisi untuk membuka ubin bagian dalam,Match tiles on the sides to unlock the inner tiles,Match tiles on the sides to unlock the inner tiles
GL_LANG_MAHJONG_GUIDE_STEP_LEVEL_1_3,"위쪽 타일을 매칭해 아래 타일을 
열어 주세요.",Combine peças no topo para desbloquear as peças abaixo,Cocokkan ubin di atas untuk membuka ubin di bawah,Match tiles on top to unlock the tiles below,Match tiles on top to unlock the tiles below
GL_LANG_MAHJONG_GUIDE_STEP_LEVEL_1_4,"위쪽 타일을 매칭해 아래 타일을 
열어 주세요.",Combine peças no topo para desbloquear as peças abaixo,Cocokkan ubin di atas untuk membuka ubin di bawah,Match tiles on top to unlock the tiles below,Match tiles on top to unlock the tiles below
GL_LANG_MAHJONG_GUIDE_STEP_LEVEL_4,스페셜 타일: 스페셜 타일끼리는 서로 매칭할 수 있습니다.,Peças especiais: peças especiais podem ser combinadas entre si,Ubin khusus: ubin khusus dapat saling mencocokkan,Special tiles: special tiles can match with each other,Special tiles: special tiles can match with each other
GL_LANG_MAHJONG_GUIDE_STEP_LEVEL_6,스페셜 타일: 스페셜 타일끼리는 서로 매칭할 수 있습니다.,Peças especiais: peças especiais podem ser combinadas entre si,Ubin khusus: ubin khusus dapat saling mencocokkan,Special tiles: special tiles can match with each other,Special tiles: special tiles can match with each other
GL_LANG_MAHJONG_GUIDE_STEP_NEW_LEVEL_1_1,같은 타일 두 개를 터치해 제거하세요.,Toque duas peças idênticas para combiná-las e removê-las,Ketuk dua ubin identik untuk mencocokkan dan menghapusnya,Tap two identical tiles to match and remove them.,Tap two identical tiles to match and remove them.
GL_LANG_MAHJONG_GUIDE_STEP_NEW_LEVEL_1_2,위쪽 타일을 매칭해 아래 타일을 열어 주세요.,Combine peças no topo para desbloquear as peças abaixo,Cocokkan ubin di atas untuk membuka ubin di bawah,Match tiles on top to unlock the tiles below.,Match tiles on top to unlock the tiles below.
GL_LANG_MAHJONG_GUIDE_STEP_NEW_LEVEL_1_3,바깥쪽 타일을 매칭해 안쪽 타일을 열어 주세요.,Combine peças nas laterais para desbloquear as peças internas,Cocokkan ubin di sisi untuk membuka ubin bagian dalam,Match the outer tiles to unlock the inner ones.,Match the outer tiles to unlock the inner ones.
