成员,值
app_init,app_init
daily_bonus_cancel_click,daily_bonus_cancel_click
daily_bonus_gift_claim2x_click,daily_bonus_gift_claim2x_click
daily_bonus_gift_claim_click,daily_bonus_gift_claim_click
daily_bonus_gift_claim_success,daily_bonus_gift_claim_success
daily_bonus_page_show,daily_bonus_page_show
daily_bonus_row_box_click,daily_bonus_row_box_click
game_login_icon_click,game_login_icon_click
game_login_icon_show,game_login_icon_show
game_moregame_start_click,game_moregame_start_click
game_popup_revive_click,game_popup_revive_click
game_revive,game_revive
game_revive_ui_show,game_revive_ui_show
game_setting_bgm_button_click,game_setting_bgm_button_click
game_setting_blockgame_button_click,game_setting_blockgame_button_click
game_setting_blockgame_button_show,game_setting_blockgame_button_show
game_setting_button_click,game_setting_button_click
game_setting_home_button_click,game_setting_home_button_click
game_setting_moregame_button_click,game_setting_moregame_button_click
game_setting_moresetting_button_click,game_setting_moresetting_button_click
game_setting_replay_button_click,game_setting_replay_button_click
game_setting_show,game_setting_show
game_setting_sound_button_click,game_setting_sound_button_click
game_setting_tutorial_button_click,game_setting_tutorial_button_click
game_setting_vibration_button_click,game_setting_vibration_button_click
game_user_rate_click,game_user_rate_click
game_user_rate_show,game_user_rate_show
game_user_rating_feedback_close,game_user_rating_feedback_close
game_user_rating_feedback_submit,game_user_rating_feedback_submit
game_user_rating_popup_close,game_user_rating_popup_close
game_user_rating_popup_show,game_user_rating_popup_show
game_user_rating_star_selected,game_user_rating_star_selected
game_user_rating_star_submit,game_user_rating_star_submit
s_device_info,s_device_info
board_fluctuation_data_report,s_game_boundary_point_status
game_eliminate_end,s_game_eliminate_end
game_get_block_end,s_game_get_block_end
game_round_end,s_game_round_end
game_touchend_block_done,s_game_touchend_block_done
s_init_sdk,s_init_sdk
s_p1_action,s_p1_action
sand_download_success,sand_download_success
ta_app_crash,ta_app_crash
ta_app_end,ta_app_end
ta_app_install,ta_app_install
ta_app_start,ta_app_start
ta_app_view,ta_app_view
ui_ad_mask_show,ui_ad_mask_show
ui_battle_show,ui_battle_show
ui_data_guide_start,ui_data_guide_start
ui_incentive_show,ui_incentive_show
ui_mini_game_back_click,ui_mini_game_back_click
ui_mini_game_battle_show,ui_mini_game_battle_show
ui_moregame_ball_button_click,ui_moregame_ball_button_click
ui_moregame_flower_button_click,ui_moregame_flower_button_click
ui_theme_block_click,ui_theme_block_click
ui_theme_classic_click,ui_theme_classic_click
ui_theme_moregame_start_click,ui_theme_moregame_start_click
ui_theme_play_click,ui_theme_play_click
ui_theme_sand_click,ui_theme_sand_click
ui_theme_setting_button_click,ui_theme_setting_button_click
ui_theme_setting_moregame_button_click,ui_theme_setting_moregame_button_click
ui_theme_setting_show,ui_theme_setting_show
ui_theme_setting_sound_button_click,ui_theme_setting_sound_button_click
ui_theme_shop_click,ui_theme_shop_click
ui_theme_shoppage_view,ui_theme_shoppage_view
ui_theme_show,ui_theme_show
user_attribute,user_attribute
usr_data_buff_ad_icon_click,usr_data_buff_ad_icon_click
usr_data_buff_ad_icon_show,usr_data_buff_ad_icon_show
usr_data_buff_ad_popup_show,usr_data_buff_ad_popup_show
usr_data_buff_ad_reward_success,usr_data_buff_ad_reward_success
usr_data_buff_items_click_fail,usr_data_buff_items_click_fail
usr_data_buff_items_click_success,usr_data_buff_items_click_success
usr_data_buff_items_icon_click,usr_data_buff_items_icon_click
usr_data_buff_items_icon_show,usr_data_buff_items_icon_show
usr_data_enter_first,usr_data_enter_first
usr_data_game_end,usr_data_game_end
usr_data_game_end_restart_click,usr_data_game_end_restart_click
usr_data_game_end_show,usr_data_game_end_show
usr_data_game_start,usr_data_game_start
usr_data_guide_end,usr_data_guide_end
usr_data_guide_start,usr_data_guide_start
usr_data_special_icon_status,usr_data_special_icon_ status
usr_data_special_icon_click,usr_data_special_icon_click
usr_data_special_icon_show,usr_data_special_icon_show
