id,常量名,显示名,真实名
-1,NONE,,
0,SUI_JI,随机,随机
1,SHANG_ZENG_1,熵增1,熵增1
2,SHANG_ZENG_3,熵增3,熵增3
3,SI_WANG,简单难题,简单难题
4,TIAN_KONG_XIAO_CHU,填空消除,填空消除
5,SHANG_JIAN,熵减1,熵减1
6,ALGO_EMPTY_BOARD_REVERSAL_STRATEGY,,
6,KUN_NAN_TI,死亡难题,死亡难题
7,SUI_JI_WU_SI,随机无死亡,随机无死亡
8,ZHI_JUE_NAN_TI,直觉难题,直觉难题
9,ZHI_SI_TI,致死题,致死题
10,SHANG_ZENG_3_NO_BIT,熵增3,熵增3
11,TIAN_KONG_XIAO_CHU_NO_BIT,填空消除,填空消除
12,SUI_JI_TRAVEL,旅行随机,旅行随机
14,IOS_SUI_JI_WU_SI,随机无死亡,随机无死亡
1000,TRAVEL_TIAN_KONG_XIAO_CHU,旅行填空消除,旅行填空消除
1002,EFFICIENT_ELIMINATE,填空消除,高效消除
1003,EMPTYDONGFILL,填空消除,空洞填空
1004,IOS_EMPTYDONGFILL,填空消除,空洞填空
1309,ALL_COMBINATION_ID9,填空消除,全组合填空id9
1321,ALL_COMBINATION_ID21,填空消除,全组合填空id21
1370,ALL_COMBINATION_ID70,填空消除,全组合填空id70
1399,ALGO_FILL_CHANGE_EDGE,填空修边,填空修边
1400,ALGO_QUICK,快速填空,快速填空
1401,IOS_FILL_BLANK_BIT,填空消除,IOS位运算填空消除
1402,IOS_FILL_BLANK_NOT_BIT,填空消除,非运算填空
1403,IOS_FILL_BLANK_NOT_BIT_REVERSE,填空消除,IOS非运算填空(块池42-2)
1404,MAX_CLEAR_AFTER_REVIVE,复活后5轮内最大消除算法,复活后5轮内最大消除算法
1405,ALGO_CLEAR_AFTER_TKXC,清盘后置填空,清盘后置填空
2000,CLEAR_BOARD,清盘算法plus,清盘算法plus
2001,SUI_JI_GUIDE,随机,随机
2002,REVIVE,复活,复活
2003,SUI_JI_NOBAOARD,随机,首局空牌面随机
2004,CLEAR_BOARD_BLANK,填空消除,清屏填空
2005,RANDOM_BLOCK_BOTTOM,随机,放置效率出随机
2006,HIGH_NEAR,陷阱题-高贴边,陷阱题-高贴边
2007,SUI_JI_PUT,随机可放,随机可放
2009,ALGO_RANDOM_MIN_EDGE,随机最小边数,随机最小边数
2010,DUO_XIAO,多消算法,多消算法
2011,CLEAR_BOARD_ANSWER,清屏解密,清屏解密
2012,FIRST_ROUND_PERFECT_FILL_EMPTY,首轮近完美填空,首轮近完美填空
2013,NEW_LIFE_BLOCK,复活,复活
2014,SHANG_JIAN_AND_TIE_HE,复活,熵增+贴和
2015,CLEAR_BOARD_MODEL,多消出块v2-qp,多消出块v2-qp
2016,CLEAR_BOARD_MODEL_GL,多消出块v2-lgqp,多消出块v2-lgqp
2017,CLEAR_BOARD_MODEL_C1,多消出块v2-qptc1,多消出块v2-qptc1
